Date,SENSEX.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,INFOSYS.BO,ICICIBANK.BO,AXISBANK.BO,ASIANPAINTS.BO
3/13/2014,21774.60938,2153.449951,388,573.599976,343.349976,3357.5,1218.25,6904,493.049988
3/14/2014,21809.80078,2141.149902,393.299988,581.75,346.999481,3389.447998,1213.75,6780,495.850006
3/18/2014,21832.60938,2122.550049,381.399994,579.049988,355.900513,3349.248047,1204.800049,6743.25,501.549988
3/19/2014,21832.85938,2040.949951,384.549988,585,359.549988,3271.552002,1210.25,6930.75,512.599976
3/20/2014,21740.08984,2107.899902,380.100006,590.299988,355.900513,3303,1200.899902,6784.25,514.049988
3/21/2014,21753.75,2125.350098,389.149994,580.400024,357.649506,3305.248047,1199,6967,508.549988
3/22/2014,0,0,0,0,0,0,0,0,0
3/24/2014,22055.48047,2152.350098,391.100006,580.599976,360.649506,3274.052002,1242.400024,7054.5,522.5
3/25/2014,22055.21094,2145.699951,390.700012,579.299988,362.849976,3251.600098,1252.549927,7004,524.650024
3/26/2014,22095.30078,2098.350098,401.25,566.400024,358.999481,3244.647949,1256.900024,7151,527.950012
3/27/2014,22214.36914,2094.850098,396.850006,560.75,359.9505,3228.5,1259.5,7151,537.25
3/28/2014,22339.9707,2105.550049,396.450012,563.5,358.999481,3257.751953,1258.75,7305.75,537.849976
3/31/2014,22386.26953,2128.25,398.350006,573.349976,352.950012,3278.852051,1245.449951,7302.25,546.5
4/1/2014,22446.43945,2172.449951,403,573.349976,352.399506,3310.600098,1223.799927,7344,536.700012
4/2/2014,22551.49023,2171.649902,413.549988,575.400024,344.25,3320.199951,1242.549927,7330.25,523.75
4/3/2014,22509.07031,2166.699951,411.25,578.75,346.349976,3338.600098,1235.199951,7186.25,538.700012
4/4/2014,22359.5,2139.550049,405.100006,571.900024,345.100494,3315.5,1230.350098,7145.75,531.549988
4/7/2014,22343.44922,2150.399902,403.25,587.25,345.550507,3291.248047,1209.050049,7108.5,538.650024
4/9/2014,22702.33984,2134.899902,416.542999,627.799988,347.500519,3253.100098,1259.550049,1484.849976,545.549988
4/10/2014,22715.33008,2126.550049,430.799988,616.200012,343.650024,3206.600098,1246.150024,7509.75,541.299988
4/11/2014,22628.96094,2163.699951,423.25,627.75,343.849487,3235.852051,1235.5,7477,541.950012
4/15/2014,22484.92969,2251.550049,412.350006,616.299988,340.999481,3260.447998,1218.050049,7228.75,534.799988
4/16/2014,22277.23047,2195,411.200012,614.599976,345.900024,3156.399902,1222.300049,7158.25,534.549988
4/17/2014,22628.83984,2217.449951,428.649994,624.299988,353.2005,3189.899902,1262,7323.25,543.599976
4/21/2014,22764.83008,2220.5,431.950012,621.549988,352.999481,3181.248047,1281.550049,7511.25,539.650024
4/22/2014,22758.36914,2220.300049,429.049988,619.349976,350.700012,3149.899902,1287.899902,7500.25,536.349976
4/23/2014,22876.53906,2214.949951,425.450012,626.099976,353.350494,3172.751953,1299.050049,7588.5,529.599976
4/24/2014,0,2214.949951,425.450012,626.099976,353.350494,3172.751953,1299.050049,7588.5,529.599976
4/25/2014,22688.07031,2202.25,423.799988,622.799988,343.600494,3174.248047,1269.300049,7672.25,515
4/28/2014,22631.60938,2191.25,416.5,635.200012,342.0495,3178.147949,1273.849976,7650,501
4/29/2014,22466.18945,2193.5,409.149994,639.349976,340.349976,3178.600098,1262.050049,7640.5,498.299988
4/30/2014,22417.80078,2189.399902,414.450012,631.549988,340.750519,3177.199951,1244.800049,7596,505.149994
5/2/2014,22403.89063,2208.850098,414.700012,630,340.150513,3219.800049,1251.800049,7652.25,509.600006
5/5/2014,22445.11914,2213.899902,414.25,626.299988,344.2995,3176.147949,1254.150024,7764.5,518.5
5/6/2014,22508.41992,2198.949951,418.299988,625.25,347.9505,3164.147949,1274.550049,7689.75,514.75
5/7/2014,22323.90039,2166.350098,416.5,631.450012,346.5495,3064.447998,1272.5,7704.5,506.350006
5/8/2014,22344.03906,2165.350098,422.149994,624.700012,341.899506,3062.947998,1289.400024,7778.75,504
5/9/2014,22994.23047,2161.199951,427.5,623.900024,345.499481,3105.399902,1374.849976,8157.5,520.75
5/12/2014,23551,2159.699951,445,613.099976,358.849487,3177.899902,1399.25,8231.5,536.299988
5/13/2014,23871.23047,2210.649902,440.799988,610.200012,361.049988,3265.5,1402.650024,8248.75,539.200012
5/14/2014,23815.11914,2214.75,442.399994,611.299988,365.650513,3246.899902,1409.649902,8192.75,556.950012
5/15/2014,23905.59961,2193.449951,439.299988,621.799988,367.900513,3270.399902,1393.099976,8318.25,529.700012
5/16/2014,24121.74023,2157.550049,449.799988,613.200012,357.550507,3177.852051,1464.799927,8784.25,536.400024
5/19/2014,24363.05078,2034.699951,444.350006,583.599976,338.050507,3022.751953,1471.099976,9274.25,528.299988
